"filename", "language", "JavaScript", "JSON", "Markdown", "Excel", "HTML", "CSS", "Log", "XML", "comment", "blank", "total"
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TcreatOrdersInBatches_CStu.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 4, 1, 63
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TcreatOrdersInBatches_Pconfirm.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 27, 2, 67
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TcreatOrdersInBatches_Sconfirm.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 27, 2, 69
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TcreatOrdersInBatches_Window.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 23, 1, 57
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TgroupInfoAdmin.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 3, 0, 59
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\Thome.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 2, 0, 62
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\Tindex.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 6, 1, 40
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TloginOut.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 0, 22
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TpaymentRecordsAdmin.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 3, 0, 51
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TproductListAdmin.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 0, 13, 2, 165
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TscholarshipInfoAdmin.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 10, 3, 186
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TstockListAdmin.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 3, 0, 51
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\TstudentInfoAdmin.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 14, 2, 169
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\ajaxTest.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 29, 2, 125
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\changePassword.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 8, 3, 66
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\changePasswordOK.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 2, 35
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\home.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 72, 8, 108
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\index.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 12, 0, 45
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\loginOut.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 0, 24
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\optionalOrder.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 0, 29
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\orderConfirm.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 20, 4, 85
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\orderRecord.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 2, 0, 35
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\orderSubmit.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 5, 1, 41
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\payPage.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 24, 0, 66
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\paymentConfirmation.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 22, 3, 51
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\paymentMethod.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 1, 37
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\paymentOrder.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\paymentResult.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 1, 37
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\requiredOrder.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\scholarshipRecord.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\routes\users.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 9, 38
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\util\util.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TallOrdersAdmin.ejs", "HTML", 0, 0, 0, 0, 256, 0, 0, 0, 38, 6, 300
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TchangePassword.ejs", "HTML", 0, 0, 0, 0, 78, 0, 0, 0, 2, 3, 83
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TchangePasswordOK.ejs", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 4, 6, 78
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TclearInfoAdmin.ejs", "HTML", 0, 0, 0, 0, 275, 0, 0, 0, 5, 6, 286
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcorpInfoAdmin.ejs", "HTML", 0, 0, 0, 0, 296, 0, 0, 0, 0, 8, 304
"e:\shrimpSUDAProject\demo\express_mysql_rumen_test\express_mysql_rumen_test\views\TcoursePlansAdmin.ejs", "HTML", 0, 0, 0, 0, 299, 0, 0, 0, 0, 10, 309
